User ID,Best Rating,Contests Participated,Problems Solved,Average Problem Rating,Best Rank,Average Rank best 50,Average Rank ,Current Job Status,Engagement (Contests per Month),Average Submissions per Day,Acceptance Ratio,solved_800_1100,solved_1200_1400,solved_1500_1800,solved_1900_2100,solved_2100_plus,greedy,math,implementation,constructive algorithms,brute force,dp,data structures,sortings,binary search,strings,number theory,dfs and similar,graphs,two pointers,trees,bitmasks,combinatorics,shortest paths,dsu,games,hashing,divide and conquer,interactive,geometry,*special,probabilities,flows,ternary search,string suffix structures,expression parsing,Other
Mallika_,1676,141,1407,1243.994314,225,1684.42,3498.5,2,1.988784681,1.368225249,0.45448799,604,359,358,59,4,606,516,529,296,272,169,141,198,100,136,124,80,86,78,45,46,32,22,30,30,16,6,6,24,10,1,7,6,4,2,14
Jahid__Noob,1555,152,2232,1198.028674,1055,2662.88,4820.62,1,5.876130903,4.784274532,0.604813665,1089,566,448,54,3,928,860,765,440,440,272,239,331,233,223,208,113,112,143,62,104,77,37,38,57,22,15,18,44,10,6,7,15,7,3,23
alif_cse_ju,1931,92,2571,1527.499028,105,947.9,2006.68,3,1.998551774,1.894712427,0.662095058,908,438,594,346,196,1011,870,835,531,479,451,405,389,287,227,210,227,217,172,168,143,107,69,83,44,36,53,46,45,12,14,17,12,16,3,51
kzvd4729,2295,151,2801,1801.820778,35,262.32,502.74,3,2.883590165,4.259245453,0.437047354,521,418,713,512,486,815,737,809,457,466,595,495,331,316,228,227,265,285,183,220,141,146,71,104,46,64,76,48,81,11,39,23,22,33,8,72
raihatneloy,2002,131,903,1874.529347,4,236.14,691.08,3,2.356051349,0.637914786,0.406351498,213,156,194,125,115,173,172,349,89,135,153,169,93,77,99,56,73,67,38,63,19,26,17,27,13,34,7,2,18,7,8,6,4,28,1,12
mh755628,2127,146,1867,2031.762185,18,364.18,916.92,3,2.299405389,1.751966937,0.441791675,284,202,387,453,518,506,462,465,259,303,555,422,223,209,170,175,230,249,114,193,129,156,69,96,25,52,54,29,33,11,36,19,9,33,0,60
nahid08,1961,162,1296,1554.70679,35,678.24,1559.74,3,3.117271853,1.298712365,0.372909699,331,236,330,230,138,395,381,414,180,226,275,233,141,143,127,133,104,113,84,88,62,73,27,45,16,20,23,1,12,6,11,6,9,15,1,24
tariqiitju,1915,83,475,1387.157895,14,768.58,1034.64,3,2.029443228,1.089318893,0.341558442,145,94,95,43,38,100,124,173,50,77,48,48,31,29,39,30,28,23,20,24,17,13,6,7,7,4,12,6,19,1,3,1,1,3,2,4
njrafi,2033,38,1085,1682.764977,132,1183.684211,1183.684211,3,0.618235228,0.713538305,0.501896813,352,207,283,140,49,255,283,476,144,186,169,128,122,90,96,61,59,62,42,45,40,41,23,26,14,16,15,12,42,9,7,5,1,6,3,15
__Tasnim__,1549,70,323,1113.003096,300,1651.02,2434.1,1,1.458280589,0.471638943,0.432397959,162,83,45,7,1,82,89,172,46,56,26,18,29,21,35,30,13,13,10,4,5,4,2,7,6,0,0,0,5,1,0,0,0,0,1,3
tanmoytkd,1734,29,179,1333.519553,103,1608.862069,1608.862069,2,0.473345953,0.187578377,0.529577465,74,34,50,14,4,52,53,69,35,47,38,23,17,16,18,10,15,16,6,7,7,12,2,3,4,1,3,3,3,0,2,1,0,0,1,2
imAnik,2234,134,1506,1445.418327,15,214.8,415.42,3,2.615585161,0.96678588,0.547386172,460,301,327,157,128,327,387,598,161,239,213,162,143,107,125,98,95,91,69,60,52,71,18,34,20,24,21,5,45,11,20,7,6,8,6,16
raida_ash,1401,14,113,1129.20354,967,2056.142857,2056.142857,1,0.90342144,0.232028037,0.419708029,57,21,23,4,0,18,32,52,18,18,8,6,14,7,9,8,5,7,2,3,1,6,0,1,2,2,0,1,4,0,0,0,0,0,0,0
sabbir_yousuf,1876,17,48,1385.416667,34,688.4705882,688.4705882,2,0.105871515,0.026762264,0.372093023,15,10,18,3,2,11,13,28,5,6,3,5,5,2,4,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,1
rafi_kamal,1763,29,197,1252.791878,11,601.5172414,601.5172414,2,0.745472451,0.457717856,0.395910781,63,47,47,11,2,44,41,93,27,36,17,7,18,7,19,12,8,12,9,3,2,3,6,2,1,3,1,0,4,4,4,0,0,1,0,3
Arg_007,2505,188,2254,1625.865129,29,135.06,409.02,3,1.985847511,1.417264612,0.570230105,294,251,496,336,547,681,606,532,455,309,473,352,240,223,158,168,194,239,120,166,110,162,55,74,47,38,56,53,62,3,53,22,13,13,3,68
hevea_brasiliensis,1738,143,551,1194.91833,125,780.72,2465.38,2,1.967949463,0.363996333,0.501340483,254,145,117,20,1,152,171,254,72,101,85,40,59,41,48,46,34,40,24,23,11,12,7,16,22,3,0,1,10,8,2,0,2,1,1,3
serotonin,2398,152,1564,1585.997442,53,241.2,575.46,3,1.855893006,1.128586477,0.610169492,451,246,313,203,233,671,599,411,389,355,321,259,224,186,124,142,143,160,117,113,122,99,47,59,49,33,29,36,44,3,17,8,14,7,0,42
YouKn0wWho,2412,194,3095,1775.024233,7,146.4,572.8,3,2.208734474,2.484169259,0.511213341,814,452,652,407,519,971,1008,870,509,539,632,487,374,309,264,305,248,267,178,210,196,205,70,93,49,60,87,46,91,20,58,26,19,25,4,111
Alfeh,2354,271,4561,1524.753344,28,252.62,652.86,3,4.779756097,4.549205193,0.506040131,1389,676,882,641,588,1713,1526,1405,914,877,837,698,584,501,377,391,392,383,309,262,270,244,104,150,105,77,90,70,90,6,52,30,26,19,10,102
Alpha_Q,2462,160,2133,1264.978903,2,143.28,404.62,3,1.315074748,1.258313816,0.489646247,350,224,348,210,343,503,518,475,324,277,285,241,179,182,118,134,131,149,79,120,83,117,37,46,45,36,42,35,65,32,37,14,7,13,6,55
DrSwad,2251,89,1325,1589.886792,14,315.64,947.6,3,1.201625795,1.19485418,0.429759704,284,145,252,192,298,417,405,327,251,239,309,242,153,170,93,117,125,116,87,92,105,103,36,52,25,22,46,25,35,3,27,15,11,7,1,47
